names,scores,logfoldchanges,pvals,pvals_adj,rank
Chadl,6.4510155,-4.039655,1.1110305604463919e-10,2.6900013190143735e-10,852
Mr1,9.306744,-4.0908346,1.3181138714751727e-20,3.663822988716763e-20,853
Or51v8,17.20217,-4.1192603,2.557746056897082e-66,1.0259215420269312e-65,854
Nsmaf,12.339769,-4.1371818,5.531393379555079e-35,1.7573240486680634e-34,855
Tbp,12.4762125,-4.167009,1.0066162038012512e-35,3.2218538414619724e-35,856
Snupn,6.2522945,-4.175547,4.0446547348218774e-10,9.694448451672002e-10,857
Hsd17b7,3.833928,-4.1862035,0.0001261130576124,0.0002657848442062,858
Adcyap1r1,5.5337973,-4.194173,3.133711063620871e-08,7.24563322570366e-08,859
Il17re,-7.2122736,-4.2089396,5.502518615518473e-13,1.3840378257604288e-12,860
Gnrhr,-2.2580547,-4.2392063,0.023942242352568,0.0452794000488399,861
Rab8b,16.847425,-4.2461863,1.0958103247397204e-63,4.3233899583559265e-63,862
Syk,-2.373049,-4.2494082,0.0176419212879659,0.0336634479960452,863
Gphn,13.066425,-4.2815943,5.1216011377606734e-39,1.683983024429912e-38,864
Gabbr1,15.304187,-4.3445916,7.1692311968851855e-53,2.6303884762600962e-52,865
Eml2,4.9024887,-4.360826,9.462998622237384e-07,2.1189258740721323e-06,866
Ncstn,25.48292,-4.400264,3.0487928216105e-143,1.887199560777296e-142,867
Ldlrap1,10.226966,-4.4055405,1.5015024517583636e-24,4.3480433263435466e-24,868
Psmc3ip,3.983023,-4.48266,6.804419552830375e-05,0.0001446559213908,869
Gnai1,11.727679,-4.5442543,9.19447452411183e-32,2.843449629929897e-31,870
Lpin1,4.068783,-4.555144,4.725941164799614e-05,0.0001009052302754,871
Fgf16,-4.0493493,-4.558981,5.1360227781524446e-05,0.0001095520986479,872
Ppargc1b,-2.3755503,-4.5842285,0.0175228072788465,0.0334415634429695,873
Ccl27a,11.942508,-4.713553,7.104838904178945e-33,2.2204736670496278e-32,874
Cry1,8.444814,-4.729373,3.0452976505530124e-17,8.11976247925417e-17,875
Fcgr3,3.1798918,-4.768955,0.0014733004684051,0.0029797782656219,876
Trerf1,11.280977,-4.7766457,1.6292541543967388e-29,4.9345572997827114e-29,877
Cmklr2,-2.807731,-4.8029246,0.0049891894858682,0.009828994565946,878
Ppp1r9b,15.583482,-4.804051,9.427694297704174e-55,3.506401621887423e-54,879
Zpr1,21.505676,-4.8190966,1.3776093781011064e-102,6.8694344775440635e-102,880
Rorc,-4.6295366,-4.845643,3.664850530962443e-06,8.069298507817289e-06,881
Pagr1a,22.632019,-4.850178,2.0977714154335017e-113,1.1172820429302082e-112,882
Hyal1,7.2459965,-4.869186,4.292706189696318e-13,1.0813481167411405e-12,883
Fgf7,9.643662,-4.869549,5.228832884424865e-22,1.4766889235174525e-21,884
Bet1l,29.326279,-4.9217925,4.796228676166841e-189,3.6522152662713403e-188,885
Shisa8,-6.8392715,-4.9463673,7.95967867639996e-12,1.962994049021126e-11,886
Lpar4,8.483851,-4.9563575,2.178605251675937e-17,5.820702935169925e-17,887
Pkn1,9.668873,-4.991279,4.0885498090493713e-22,1.1556256436467057e-21,888
Nr1h4,-3.4680066,-5.0173783,0.0005243342662399,0.0010825364655933,889
Ppard,9.061147,-5.045789,1.29085844663075e-19,3.54757037438801e-19,890
Vipr2,-3.7560716,-5.0524755,0.0001726013289217,0.0003619188628903,891
Fgf10,-3.3312027,-5.0931497,0.0008647161947044,0.0017681320321255,892
Lonp1,18.353855,-5.099295,3.0750523259099086e-75,1.3068695752126296e-74,893
Ufd1,25.791187,-5.1121974,1.113392102296496e-146,7.0169249862181235e-146,894
Slurp1,-2.4624624,-5.128909,0.0137986645325184,0.026522764661292,895
Taok2,14.619193,-5.144077,2.118955996453532e-48,7.532258779868905e-48,896
Itga8,-2.932234,-5.161578,0.0033653289262235,0.0066895930797211,897
Usp4,22.605328,-5.208161,3.841164132586275e-113,2.0416772721831774e-112,898
Elmo2,10.752534,-5.267116,5.7655401196262765e-27,1.7064004907366534e-26,899
Ankrd13c,14.037953,-5.293054,9.131224542118888e-45,3.148739487728325e-44,900
Ntrk3,-3.7901986,-5.315225,0.0001505269090326,0.0003165313022576,901
H2-Q6,-3.7207913,-5.3237214,0.0001985994471179,0.0004156212935565,902
Stoml2,24.162237,-5.326116,5.5530816956099995e-129,3.18991592247091e-128,903
Adcy6,7.997482,-5.357013,1.269897222790022e-15,3.3174344502901027e-15,904
Adgrg1,-3.6697507,-5.381469,0.0002427872088381,0.0005066145459333,905
Il17ra,3.6930127,-5.3929625,0.0002216128735331,0.0004629625617517,906
Or52k2,14.274265,-5.480362,3.166071700715211e-46,1.1033605730686634e-45,907
Trpc1,10.138089,-5.530363,3.7435200759920274e-24,1.0790199843198009e-23,908
Vmn1r12,5.38779,-5.531231,7.132933378420373e-08,1.6356248410165806e-07,909
Npr2,9.915103,-5.5488167,3.578860396797542e-23,1.0197377736158592e-22,910
Ctbp2,22.367338,-5.552551,8.18791201667298e-111,4.289347299752328e-110,911
Pnoc,-3.2989507,-5.7566824,0.0009704699724582,0.0019794034383417,912
Adora2a,2.406594,-5.795178,0.0161020611515087,0.0308047935903286,913
Efna1,6.2651677,-5.7995095,3.7242480639488484e-10,8.936455050643615e-10,914
Nectin1,7.7327433,-5.81736,1.0525341019524112e-14,2.7109266189311863e-14,915
Adora1,-5.0646067,-5.8779306,4.092445251486517e-07,9.231940529592496e-07,916
Taf6,14.932663,-5.9181676,2.020349282327437e-50,7.2759064488270135e-50,917
Ptger4,10.69755,-5.9353814,1.0450512099449858e-26,3.087960298988055e-26,918
Sacm1l,18.65757,-5.9627175,1.0960245494629695e-77,4.7312126978919595e-77,919
Tnfsf13b,2.842998,-5.9891977,0.0044691345819719,0.0088302323681104,920
Stat5b,6.714385,-6.0039873,1.888609678915432e-11,4.6257620516032166e-11,921
Ankra2,18.526731,-6.0549493,1.2569389066543508e-76,5.3864575315824417e-76,922
Crcp,15.23314,-6.0598335,2.1310653598651893e-52,7.794656993709452e-52,923
Stx11,4.7107377,-6.2002945,2.468216742952467e-06,5.463569270478889e-06,924
Lmbr1,7.00307,-6.2193193,2.504141946488057e-12,6.227662341334428e-12,925
Tollip,10.994433,-6.2227674,4.064586898208465e-28,1.215157665138364e-27,926
Arap1,22.93606,-6.223493,2.0300347620333584e-116,1.0972872108464525e-115,927
Lhfpl4,-2.4556487,-6.2635474,0.0140630572337218,0.0270155721305907,928
Ophn1,3.8770885,-6.2753415,0.0001057138455195,0.0002234911612831,929
Or5w19,7.7134147,-6.287327,1.2249508249083651e-14,3.151569919960842e-14,930
Grk5,15.624722,-6.3002095,4.9407267431276285e-55,1.8413522625342017e-54,931
Fadd,3.1443148,-6.3028297,0.0016647627055692,0.0033563810061669,932
Hjv,-2.4438508,-6.306192,0.0145314330582124,0.0278903859809894,933
Abca1,6.3950014,-6.334888,1.6054573905043018e-10,3.878746959302661e-10,934
Nup62,14.885349,-6.342438,4.1033942740327187e-50,1.4750612714491989e-49,935
Gpr182,-2.4859462,-6.342563,0.0129207475743595,0.0248757827413764,936
Ccl8,10.040238,-6.3429217,1.0142832140039955e-23,2.906160091944247e-23,937
Babam2,23.6975,-6.3803988,3.8261180896486725e-124,2.1492683803945614e-123,938
Pdgfb,-2.6794689,-6.4619274,0.0073739066302138,0.0143866398374726,939
Adam15,26.786726,-6.4690595,4.6135285205386415e-158,3.0697509065815005e-157,940
Socs1,17.141973,-6.4900093,7.216041339901188e-66,2.88653873818469e-65,941
Myo5b,-7.5995674,-6.689956,2.9712222160553425e-14,7.595588740848836e-14,942
Tgfb1,24.088066,-6.7311263,3.334163566888718e-128,1.906931661343303e-127,943
Pla2r1,9.697038,-6.764955,3.1037991781503636e-22,8.779169008153483e-22,944
Cask,21.121206,-6.7918077,5.078079334482915e-99,2.4942672480727995e-98,945
Rxrg,-3.3031054,-6.8465657,0.0009562048092841,0.0019508130765332,946
Il16,-6.7648396,-6.9088936,1.3345700745566668e-11,3.2786146366201797e-11,947
Wnt9a,-3.7605374,-6.910442,0.0001695486890816,0.0003557073971754,948
Nod1,2.3279636,-6.91401,0.019914035235839,0.0378552572272456,949
Fnta,20.688995,-6.956423,4.351897430576679e-95,2.084692135624655e-94,950
Nup85,9.280098,-7.0746126,1.6932269097136827e-20,4.7031647265224487e-20,951
Sorbs1,8.183284,-7.266727,2.7621090577545317e-16,7.263027724949326e-16,952
Fgf1,-3.959864,-7.3012314,7.499245517098851e-05,0.0001591980573015,953
Add1,21.892792,-7.323919,3.0429910996528593e-106,1.5497734533182448e-105,954
Sh2d3c,-4.172317,-7.3502207,3.0151758625291783e-05,6.471149286643805e-05,955
Myd88,12.206674,-7.4231553,2.8635948235342654e-34,9.046539163662282e-34,956
Snx5,21.76686,-7.4536085,4.783128404371027e-105,2.4172502361927266e-104,957
Gpr146,-2.9197824,-7.509214,0.0035027575314678,0.006958674150614,958
Sema6a,3.1245825,-7.5708556,0.0017805750880905,0.0035852837913039,959
Tacc2,11.688865,-7.651386,1.4531577556866314e-31,4.486933247983519e-31,960
Avpr1a,-2.2915974,-7.660738,0.0219288840998368,0.041568266697877,961
Pex14,15.949239,-7.7188654,2.8839076493847995e-57,1.093958287877282e-56,962
Amfr,20.808907,-7.7219934,3.594526516956226e-96,1.7341975256744897e-95,963
Ceacam1,-2.661022,-7.729885,0.0077903877990994,0.0151803951660227,964
B9d1,20.777517,-7.755613,6.91436563455834e-96,3.3283927176258925e-95,965
Ikbkb,14.400674,-7.777948,5.124110523115191e-47,1.798196622589569e-46,966
Dnajc14,20.722925,-7.8303933,2.15205260255289e-95,1.0325743352610566e-94,967
Clec1a,-2.7362971,-7.8453546,0.0062134887892849,0.0121759431468142,968
Esrra,4.1126904,-7.8468213,3.910745213430526e-05,8.367365279569063e-05,969
Inpp5k,8.259702,-7.862109,1.4603663412133114e-16,3.856810526140387e-16,970
Adrb2,-6.0126925,-7.941651,1.824671938683836e-09,4.325195771565568e-09,971
Uimc1,15.815332,-7.947962,2.4391728779819714e-56,9.181785267061695e-56,972
Slit3,4.7619915,-8.001755,1.916919790420093e-06,4.255597967059493e-06,973
Ets2,10.123225,-8.020764,4.3581311316021285e-24,1.2547954102824705e-23,974
Dmtn,-3.1256192,-8.116829,0.0017743118716838,0.0035729770435672,975
Anks1,-3.1467366,-8.145553,0.0016510358582562,0.0033298427260818,976
